Phone_Name,Phone_Price
"Samsung Galaxy J4 (Black, 16 GB)","₹8,990"
"Samsung Galaxy J4 (Gold, 16 GB)","₹9,500"
"Samsung Galaxy J4 (Blue, 16 GB)","₹9,500"
"Samsung Galaxy J6 (Black, 64 GB)","₹14,990"
"Samsung Galaxy J6 (Blue, 64 GB)","₹9,490"
"Samsung Galaxy J6 (Gold, 64 GB)","₹14,990"
"Samsung Galaxy J6 (Blue, 32 GB)","₹12,990"
"Samsung Galaxy J6 (Black, 32 GB)","₹12,990"
"Samsung Galaxy J6 (Gold, 32 GB)","₹12,990"
Samsung Guru Music 2,"₹1,450"
Samsung Guru 1200,"₹1,100"
Samsung Guru FM Plus,"₹1,660"
"Samsung Galaxy J2 2018 (Gold, 16 GB)","₹7,500"
"Samsung Galaxy J2 2018 (Black, 16 GB)","₹7,999"
"Samsung Galaxy J2 2018 (Pink, 16 GB)","₹6,799"
"Samsung Galaxy J7 Duo (Gold, 32 GB)","₹17,889"
"Samsung Galaxy J7 Duo (Black, 32 GB)","₹17,962"
"Samsung Galaxy S9 (Midnight Black, 256 GB)","₹65,900"
"Samsung Galaxy Note 8 (Maple Gold, 64 GB)","₹59,900"
"Samsung Galaxy Note 8 (Midnight Black, 64 GB)","₹59,900"
"Samsung Galaxy J7 Nxt (Black, 32 GB)","₹14,995"
"Samsung Galaxy J7 Nxt (Gold, 32 GB)","₹12,000"
"Samsung Galaxy J2-2017 (Absolute black, 8 GB)","₹6,000"
"Samsung Galaxy J2-2017 (Metallic gold, 8 GB)","₹6,000"
"Samsung Galaxy J7 Pro (Black, 64 GB)","₹20,995"
"Samsung Galaxy J7 Nxt (Gold, 16 GB)","₹10,995"
"Samsung Galaxy J7 Nxt (Black, 16 GB)","₹11,995"
"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)","₹53,990"
"Samsung J7 Max (Gold, 32 GB)","₹11,046"
"Samsung J7 Max (Black, 32 GB)","₹19,995"
"Samsung Galaxy S8 Plus (Midnight Black, 128 GB)","₹66,900"
Samsung Metro 313 Dual Sim,"₹2,340"
"Samsung Galaxy J5 Prime (Gold, 32 GB)","₹13,500"
"Samsung Galaxy J5 Prime (Black, 32 GB)","₹13,500"
Samsung Metro 313 Dual Sim,"₹2,025"
"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)","₹53,990"
"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)","₹53,990"
"Samsung Galaxy S8 Plus (Midnight Black, 64 GB)","₹53,990"
"Samsung Galaxy J7 Prime (Gold, 32 GB)","₹15,995"
"Samsung Galaxy J2 Pro (Gold, 16 GB)","₹10,480"
"Samsung Galaxy J2 Pro (Black, 16 GB)","₹10,480"
"Samsung Galaxy J5 Prime (Gold, 16 GB)","₹12,800"
"Samsung Galaxy J5 Prime (Black, 16 GB)","₹14,500"
"Samsung Galaxy J7 Prime (Black, 16 GB)","₹18,328"
"Samsung Galaxy J7 - 6 (New 2016 Edition) (White, 16 GB)","₹15,299"
"Samsung Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB)","₹13,800"
"Samsung Galaxy On7 (Black, 8 GB)","₹9,977"
Samsung Guru GT,"₹1,549"
Samsung Sm-B110E/D,"₹1,699"
"Samsung Galaxy J2 (White, 8 GB)","₹6,799"
Samsung Metro 313 Dual Sim,"₹2,340"
Samsung Metro 313,"₹2,499"
Samsung B350,"₹3,000"
Samsung Metro 350,"₹3,013"
Samsung Metro 350,"₹3,062"
Samsung Guru FM Plus SM-B110E/D,"₹1,662"
Samsung Guru FM Plus,"₹1,689"
Samsung Metro 350,"₹3,200"
Samsung Metro 350,"₹3,007"
Samsung Guru FM Plus SM-B110E/D,"₹1,662"
Samsung Metro 313,"₹2,196"
Samsung Guru Music 2 SM-B310E,"₹2,090"
Samsung Metro 313,"₹2,499"
Samsung Guru Music 2,"₹1,945"
Samsung Guru FM Plus,"₹1,799"
Samsung Guru Music 2,"₹1,600"
Samsung Metro SM-B313ez,"₹2,799"
Samsung Guru FM Plus,"₹1,659"
Samsung Guru Plus B110,"₹1,699"
Samsung Guru FM Plus SM-B110E/D,"₹1,662"
Samsung Metro 313,"₹2,050"
Samsung Metro 313,"₹2,282"
"Samsung Galaxy S6 Edge (Black Sapphire, 32 GB)","₹37,299"
"Samsung Galaxy Core Prime (White, 8 GB)","₹7,990"
Samsung Guru Music 2,"₹1,950"
"Samsung Galaxy Grand 2 (Gold, 8 GB)","₹15,999"
"Samsung Galaxy S5 (Shimmery White, 16 GB)","₹33,999"
Samsung GT 1200 R/I/M,"₹1,549"
Samsung Guru 1200,"₹1,408"
Samsung Guru 1200,"₹1,250"
Samsung Guru 1200,"₹1,100"
"Samsung Galaxy M30S (Blue, 128 GB)","₹17,879"
"Samsung Galaxy S10 (Prism Black, 128 GB)","₹69,000"
"Samsung Galaxy M31 (Space Black, 128 GB)","₹21,999"
"Samsung Galaxy M31s (Mirage Blue, 128 GB)","₹20,000"
"Samsung Galaxy M31 (Ocean Blue, 128 GB)","₹21,999"
"Samsung Galaxy S10 Lite (Prism Blue, 512 GB)","₹47,999"
"Samsung Galaxy S10 Lite (Prism White, 512 GB)","₹47,999"
"Samsung Galaxy Note10 Lite (Aura Red, 128 GB)","₹37,999"
"Samsung Galaxy Note10 Lite (Aura Red, 128 GB)","₹39,999"
"Samsung Galaxy S10 Lite (Prism White, 128 GB)","₹42,999"
"Samsung Galaxy M30s (White, 128 GB)","₹16,999"
"Samsung Galaxy M30s (Opal Black, 128 GB)","₹16,999"
"Samsung Galaxy M30s (Blue, 128 GB)","₹16,999"
"Samsung Galaxy A30s (Prism Crush Violet, 128 GB)","₹19,900"
"Samsung Galaxy A30s (Prism Crush White, 128 GB)","₹19,900"
